100	台北市	中正區	忠孝東路一段
100	台北市	中正區	中山南路
100	台北市	中正區	重慶南路一段
100	台北市	中正區	南昌路一段
103	台北市	大同區	重慶北路三段
103	台北市	大同區	民生西路
103	台北市	大同區	延平北路二段
104	台北市	中山區	中山北路二段
104	台北市	中山區	南京東路二段
104	台北市	中山區	林森北路
104	台北市	中山區	長安東路一段
105	台北市	松山區	南京東路五段
105	台北市	松山區	八德路四段
105	台北市	松山區	敦化北路
106	台北市	大安區	忠孝東路四段
106	台北市	大安區	和平東路二段
106	台北市	大安區	復興南路一段
106	台北市	大安區	敦化南路一段
106	台北市	大安區	信義路四段
108	台北市	萬華區	萬大路
108	台北市	萬華區	西園路一段
108	台北市	萬華區	中華路一段
110	台北市	信義區	信義路五段
110	台北市	信義區	松仁路
110	台北市	信義區	忠孝東路五段
111	台北市	士林區	中山北路六段
111	台北市	士林區	文林路
111	台北市	士林區	中正路
112	台北市	北投區	光明路
112	台北市	北投區	中央北路一段
114	台北市	內湖區	成功路四段
114	台北市	內湖區	內湖路一段
114	台北市	內湖區	康寧路三段
115	台北市	南港區	南港路一段
115	台北市	南港區	研究院路二段
116	台北市	文山區	木柵路一段
116	台北市	文山區	景興路
200	基隆市	仁愛區	愛三路
201	基隆市	信義區	信一路
202	基隆市	中正區	中正路
220	新北市	板橋區	中山路一段
220	新北市	板橋區	文化路一段
220	新北市	板橋區	民生路二段
221	新北市	汐止區	大同路一段
221	新北市	汐止區	新台五路一段
231	新北市	新店區	北新路三段
231	新北市	新店區	中正路
234	新北市	永和區	中正路
234	新北市	永和區	永和路一段
235	新北市	中和區	中和路
235	新北市	中和區	景平路
236	新北市	土城區	中央路三段
241	新北市	三重區	重新路三段
241	新北市	三重區	三和路四段
242	新北市	新莊區	中正路
242	新北市	新莊區	新泰路
247	新北市	蘆洲區	中正路
248	新北市	五股區	成泰路一段
251	新北市	淡水區	中正路
251	新北市	淡水區	中山路
252	新北市	金山區	中山路
253	新北市	萬里區	萬里路
300	新竹市	東區	光復路一段
300	新竹市	東區	中華路二段
300	新竹市	北區	經國路一段
300	新竹市	香山區	中華路五段
302	新竹縣	竹北市	光明六路
302	新竹縣	竹北市	中正東路
310	新竹縣	竹東鎮	長春路三段
320	桃園市	中壢區	中北路
320	桃園市	中壢區	中央西路一段
330	桃園市	桃園區	中正路
330	桃園市	桃園區	復興路
330	桃園市	桃園區	大興西路一段
333	桃園市	龜山區	萬壽路一段
334	桃園市	八德區	介壽路一段
338	桃園市	蘆竹區	南崁路一段
400	台中市	中區	自由路二段
400	台中市	中區	中山路
401	台中市	東區	復興路四段
402	台中市	南區	忠明南路
403	台中市	西區	台灣大道二段
403	台中市	西區	美村路一段
404	台中市	北區	三民路三段
404	台中市	北區	健行路
406	台中市	北屯區	北屯路
406	台中市	北屯區	文心路四段
407	台中市	西屯區	台灣大道三段
407	台中市	西屯區	青海路二段
408	台中市	南屯區	五權西路二段
408	台中市	南屯區	黎明路二段
411	台中市	太平區	中平路
412	台中市	大里區	中興路二段
420	台中市	豐原區	中正路
500	彰化縣	彰化市	中正路一段
500	彰化縣	彰化市	中山路二段
510	彰化縣	員林市	中山路二段
540	南投縣	南投市	中山街
600	嘉義市	東區	中山路
600	嘉義市	西區	民生北路
612	嘉義縣	太保市	祥和路
700	台南市	中西區	中正路
700	台南市	中西區	民生路二段
701	台南市	東區	長榮路一段
702	台南市	南區	金華路二段
704	台南市	北區	成功路
708	台南市	安平區	安平路
709	台南市	安南區	安和路一段
710	台南市	永康區	中華路
711	台南市	歸仁區	中山路一段
720	台南市	官田區	中山路一段
730	台南市	新營區	中正路
741	台南市	善化區	中山路
800	高雄市	新興區	中正三路
800	高雄市	新興區	民生一路
801	高雄市	前金區	中華三路
802	高雄市	苓雅區	三多三路
802	高雄市	苓雅區	中正一路
803	高雄市	鹽埕區	大勇路
804	高雄市	鼓山區	鼓山一路
806	高雄市	前鎮區	中山二路
806	高雄市	前鎮區	一心一路
807	高雄市	三民區	建工路
807	高雄市	三民區	十全一路
811	高雄市	楠梓區	楠梓路
813	高雄市	左營區	自由二路
813	高雄市	左營區	博愛二路
830	高雄市	鳳山區	中山路
830	高雄市	鳳山區	光復路二段
880	澎湖縣	馬公市	中正路
900	屏東縣	屏東市	民生路
900	屏東縣	屏東市	中正路
950	台東縣	台東市	中山路
970	花蓮縣	花蓮市	中山路
970	花蓮縣	花蓮市	中正路
260	宜蘭縣	宜蘭市	中山路二段
265	宜蘭縣	羅東鎮	中正路
360	苗栗縣	苗栗市	中正路
510	彰化縣	員林市	三民路
640	雲林縣	斗六市	大學路三段
